"Date","Seller","Buyer","Item","Price","Durability","Rarity"
"8/18/2015 12:12:37 AM","seeker66","Randomius","Harpy X","$5,000","32","g"
"8/18/2015 12:18:04 AM","CaptD","Randomius","Diamond Armor VI","$8,000","58","g"
"8/18/2015 12:19:50 AM","Langolier","BloodLust","Exoprene Shield II","$9,500","31","g"
"8/18/2015 12:20:17 AM","Lidl","BloodLust","Hold-P122 III","$9,900","39","g"
"8/18/2015 12:25:44 AM","stexi","Shadowsworn","Plasma Lance III","$70,000","59","b"
"8/18/2015 12:57:31 AM","TLN","iSmooth","Oblivion V","$8,000","48","g"
"8/18/2015 1:00:50 AM","Hexcision","aaronbourne1","Ajax Gambit XV","$100,000","44","g"
"8/18/2015 1:01:25 AM","wathcman","xBlueFrayx","Hold-P112 V","$149,999","80","p"
"8/18/2015 1:03:01 AM","Fireman4499","Kaos","Banshee IX","$400,000","100","o"
"8/18/2015 1:26:42 AM","Boombaclarrt","AgentP","Warrior Tech I","$60,000","100","g"
"8/18/2015 1:41:47 AM","darthtoole1","Tier","Sage Tech I","$325,000","71","b"
"8/18/2015 1:42:09 AM","CaptTom","Hexcision","Cabal Tech I","$184,500","100","g"
"8/18/2015 1:44:17 AM","HaRdk0rE","Hexcision","WP-V2","$333,333","70","p"
"8/18/2015 1:58:02 AM","Boombaclarrt","Rickychan","Hold-P208 V","$75,000","75","p"
"8/18/2015 2:16:10 AM","stexi","CrazyMofo","Hold-R221 III","$9,000","39","g"
"8/18/2015 2:29:38 AM","Somepilotguy","iSmooth","Matter Inverter II","$5,000","38","g"
"8/18/2015 2:32:38 AM","Somepilotguy","quackerz101","Hold-W210 VII","$5,000","65","g"
"8/18/2015 2:53:38 AM","tomcat","iSmooth","Hold-R219 III","$899","46","g"
"8/18/2015 3:26:47 AM","iSmooth","quackerz101","Hold-H206 IV","$8,500","44","g"
"8/18/2015 3:55:54 AM","cartovrlrd2","iSmooth","Carbide Hull IX","$8,000","40","g"
"8/18/2015 3:58:02 AM","MUFC","iSmooth","Osmium Armor X","$6,050","63","g"
"8/18/2015 3:58:02 AM","MUFC","iSmooth","Osmium Armor V","$5,000","51","g"
"8/18/2015 4:00:02 AM","MUFC","quackerz101","Hold-R124 IV","$5,000","26","g"
"8/18/2015 4:00:02 AM","MUFC","quackerz101","Hold-P114 VI","$5,000","27","g"
"8/18/2015 4:00:02 AM","MUFC","slow","Hold-H116 IV","$5,000","37","g"
"8/18/2015 4:00:02 AM","MUFC","quackerz101","Hold-H103 VII","$5,000","44","g"
"8/18/2015 4:01:02 AM","MUFC","iSmooth","Hold-H225 III","$5,000","48","g"
"8/18/2015 4:13:02 AM","Borg","Somepilotguy","Hold-W207 V","$3,025","27","g"
"8/18/2015 4:16:02 AM","Borg","iSmooth","Rapture V","$15,000","39","g"
"8/18/2015 4:16:02 AM","Borg","slow","Diamond Armor III","$5,000","100","g"
"8/18/2015 4:23:36 AM","CommandoRT","nemisisVW","Mass Driver XVI","$1,000,000","62","r"
"8/18/2015 4:37:30 AM","MUFC","MACTRE","Titanium Hull VI","$133,200","45","b"
"8/18/2015 4:57:54 AM","iSmooth","Extran","Exoprene Shield XIII","$22,000","21","g"
"8/18/2015 5:04:59 AM","WarCryciS","TheHague","Kismet Gambit X","$150,000","65","p"
"8/18/2015 5:20:49 AM","MUFC","Dreadlord","Hold-W214 VI","$250,000","100","b"
"8/18/2015 6:09:32 AM","Somepilotguy","quackerz101","Hold-W224 V","$5,000","64","g"
